tt0099423	Die Hard 2
tt1125849	The Wrestler
tt0094155	Tin Men
tt2569088	The Saint
tt1606392	Win Win
tt0177023	My Mother Dreams the Satan's Disciples in New York
tt0118771	Breakdown
tt0106834	Even Cowgirls Get the Blues
tt0357470	The Battle of Shaker Heights
tt0119822	As Good As It Gets
tt0271367	Eight Legged Freaks
tt0443272	Lincoln
tt0117951	Trainspotting
tt0179626	15 Minutes
tt0093822	Raising Arizona
tt0056923	Charade
tt0073705	Shivers
tt0370263	Alien vs. Predator
tt1142988	The Ugly Truth
tt1789110	American Werewolf in London
tt1946935	Crying Game
tt0120735	Lock, Stock and Two Smoking Barrels
tt0058946	The Battle of Algiers
tt0106387	Benny & Joon
tt0244000	American Outlaws
tt0455857	When a Stranger Calls
tt7316868	Kill Bill Volume 1 & 2
tt0116629	Independence Day
tt0307879	Burning Annie
tt0383028	Synecdoche, New York
tt0417217	Two For The Money
tt0369226	Alone in the Dark
tt0077405	Days of Heaven
tt0109506	The Crow
tt0126886	Election
tt0109838	Freaked
tt0119314	The Horse Whisperer
tt0114709	Toy Story
tt0159382	Croupier
tt3783958	La La Land
tt0417907	Little Athens
tt0105128	Pet Sematary II
tt0095016	Die Hard
tt0266543	Finding Nemo
tt1798709	Her
tt0094631	Alien Nation
tt0195945	Next Friday
tt0780504	Drive
tt0032551	The Grapes of Wrath
tt0119116	The Fifth Element
tt7150322	Spare Me
tt0975645	Hitchcock
tt0103594	1492 Conquest of Paradise
tt0113690	Lord of Illusions
nm0702572	Margare
tt0765443	Eastern Promises
tt0094137	Three Men and a Baby
nm0063944	Sugar
tt0083511	48 Hrs
tt0329101	Freddy vs. Jason
tt0881891	All About Steve
tt0116908	The Long Kiss Goodnight
tt0181689	Minority Repor
tt0387877	The Black Dahlia
tt0479884	Crank
tt0061418	Bonnie and Clyde
tt0829482	Superbad
tt0365929	Whiteou
tt1690953	Despicable Me 2
tt0099810	The Hunt for Red October
tt2053425	Rust and Bone
tt0892384	White Jazz
tt0138704	Pi
tt1149362	The White Ribbon
tt2006810	Papadopoulos & Sons
tt0090060	St. Elmo's Fire
tt0257106	Scary Movie 2
tt0196158	Ticker
tt1216475	Cars 2
tt0106977	The Fugitive
tt0383574	Pirates of the Caribbean Dead Man's Ches
tt0100157	Misery
tt5232792	Lost in Space
tt0080678	The Elephant Man
tt0086856	The Adventures of Buckaroo Banzai Across the Eighth Dimension
tt0824758	The Last Station
tt0120201	Starship Troopers
tt0074812	Logan's Run
tt1205489	Gran Torino
tt0167260	Lord of the Rings Return of the King
tt1707386	Les Miserables
tt0673711	Sex, Lies and Videotape
tt0042192	All About Eve
tt0036775	Double Indemnity
tt5761496	Get Shorty
tt0133093	The Matrix
tt0035423	Kate & Leopold
tt0067128	Get Carter
tt0107507	Manhattan Murder Mystery
tt0361748	Inglourious Basterds
tt0124198	Very Bad Things
tt0371724	The Hitchhiker's Guide to the Galaxy
tt0488120	Fracture
tt4590390	Break
tt0268995	The Majestic (The Bijou)
tt0087182	Dune
tt1197628	Observe and Repor
tt0848228	The Avengers (2012)
tt1935179	Mud
tt0167404	The Sixth Sense
tt0315327	Bruce Almighty
tt0078788	Apocalypse Now
tt0118900	Gang Related
tt6139732	Aladdin
tt0110074	The Hudsucker Proxy
tt0486051	Wind Chi
tt1190080	2012
tt1790885	Zero Dark Thirty
tt0088847	The Breakfast Club
tt0120660	Enemy of the State
tt1197624	Law Abiding Citizen
tt1265990	The Roommate
tt0081568	The Stuntman
tt0258463	The Bourne Identity
tt5531470	Frequency
tt0074285	Carrie
nm0313534	Roo
tt0069293	Solaris
tt0113101	Four Rooms
tt0107290	Jurassic Park
tt0132347	Mystery Men
tt0072684	Barry Lyndon
tt0364045	Taking Lives
tt0097388	Friday the 13th Part VIII Jason Takes Manhattan
tt0470752	Ex Machina
tt0187738	Blade II
tt0100150	Miller's Crossing
tt0325980	Pirates of the Caribbean
tt2562232	Birdman
tt0120655	Dogma
tt0183649	Phone Boo
tt1663202	The Revenant
tt0139414	Lake Placid
tt0361127	The Woodsman
tt1560747	The Master
tt0106582	Cliffhanger
tt1226774	In the Loop
tt0067116	The French Connection
tt0044079	Strangers on a Train
tt0104797	Malcolm X
tt0159365	Cold Mountain
tt2793180	Punch Drunk Love
tt1407084	12
tt0134847	Pitch Black
tt0119173	G.I. Jane
tt0054240	Orgy of the Dead
tt0119217	Good Will Hunting
tt1148204	Orphan
tt0112384	Apollo 13
tt0309593	Final Destination 2
tt1058017	The Invention of Lying
tt0455538	How to Lose Friends & Alienate People
tt0842926	The Kids Are All Right
tt0111503	True Lies
tt0221069	Chasing Sleep
tt0084787	The Thing
tt1650062	Super 8
tt1300851	Boondock Saints 2 All Saints Day
tt0247199	The Believer
tt0119567	Jurassic Park The Lost World
tt2132285	The Bling Ring
tt1234548	The Men Who Stare at Goats
tt0056241	The Miracle Worker
tt1230414	It's Complicated
tt0166943	Music of the Hear
tt0058331	Mary Poppins
tt1024648	Argo
nm1883440	Tin Cup
tt0472399	The Mechanic
tt1045658	Silver Linings Playbook
tt2179136	American Sniper
tt0174480	Autumn in New York
tt0054215	Psycho
tt0119008	Donnie Brasco
tt1375666	Inception
tt0262674	Paria
tt0914837	44 Inch Ches
tt0403407	Perfect Creature
tt0218967	The Family Man
tt0109813	The Flintstones
tt0120004	The Relic
tt0439815	Slither
